!Transport Data
!Title:   A comprehensive experimental and kinetic modeling study of n-
!Authors: Jianghuai Cai, Lidong Zhang, Feng Zhang, Zhandong Wang, Zhanj
!Address: National Synchrotron Radiation Laboratory, University of Scie

!################################ From USC Mech II#####################
AR                 0   136.500     3.330     0.000     0.000     0.000 
C                  0    71.400     3.298     0.000     0.000     0.000 
CH                 1    80.000     2.750     0.000     0.000     0.000 
CH*                1    80.000     2.750     0.000     0.000     0.000
CH2                1   144.000     3.800     0.000     0.000     0.000 
CH2*               1   144.000     3.800     0.000     0.000     0.000 
CH3                1   144.000     3.800     0.000     0.000     0.000 
CH4                2   141.400     3.746     0.000     2.600    13.000 
CO                 1    98.100     3.650     0.000     1.950     1.800 
CO2                1   244.000     3.763     0.000     2.650     2.100 
HCO                2   498.000     3.590     0.000     0.000     0.000 
CH2O               2   498.000     3.590     0.000     0.000     2.000 
CH2OH              2   417.000     3.690     1.700     0.000     2.000 
CH3O               2   417.000     3.690     1.700     0.000     2.000 
CH3OH              2   481.800     3.626     0.000     0.000     1.000 
                                                                       
C2                 1    97.530     3.621     0.000     1.760     4.000 
C2O                1   232.400     3.828     0.000     0.000     1.000 
C2H                1   209.000     4.100     0.000     0.000     2.500 
C2H2               1   209.000     4.100     0.000     0.000     2.500 
H2CC               2   209.000     4.100     0.000     0.000     2.500
C2H3               2   209.000     4.100     0.000     0.000     1.000 
C2H4               2   280.800     3.971     0.000     0.000     1.500 
C2H5               2   252.300     4.302     0.000     0.000     1.500 
C2H6               2   252.300     4.302     0.000     0.000     1.500 
HCCO               2   150.000     2.500     0.000     0.000     1.000 
HCCOH              2   436.000     3.970     0.000     0.000     2.000 
CH2CO              2   436.000     3.970     0.000     0.000     2.000 
CH2CHO             2   436.000     3.970     0.000     0.000     2.000 
C2H2OH             2   224.700     4.162     0.000     0.000     1.000 
C2H5O2             2   395.0       4.037     1.3       0.0       1.0 
CH2CH2OOH          2   395.0       4.037     1.3       0.0       1.0                                                                       
C3H2               2   209.000     4.100     0.000     0.000     1.000 
C3H3               2   252.000     4.760     0.000     0.000     1.000 
AC3H4              1   252.000     4.760     0.000     0.000     1.000 
PC3H4              1   252.000     4.760     0.000     0.000     1.000 
CC3H4              1   252.000     4.760     0.000     0.000     1.000
CH2OCH2            1   252.000     4.760     0.000     0.000     1.000
CH2OCH             1   252.000     4.760     0.000     0.000     1.000
CH3CH2CHO          1   252.000     4.760     0.000     0.000     1.000
                                                                       
C4H                1   357.000     5.180     0.000     0.000     1.000 
C4H2               1   357.000     5.180     0.000     0.000     1.000 
H2C4O              2   357.000     5.180     0.000     0.000     1.000 
C4H2OH             2   224.700     4.162     0.000     0.000     1.000 
IC4H3              2   357.000     5.180     0.000     0.000     1.000 
NC4H3              2   357.000     5.180     0.000     0.000     1.000 
C4H4               2   357.000     5.180     0.000     0.000     1.000
C4H4-123           2   357.000     5.180     0.000     0.000     1.000
IC4H5              2   357.000     5.180     0.000     0.000     1.000 
NC4H5              2   357.000     5.180     0.000     0.000     1.000 
C4H5-2             2   357.000     5.180     0.000     0.000     1.000 
C4H5-3             2   357.000     5.180     0.000     0.000     1.000
C4H5-4             2   357.000     5.180     0.000     0.000     1.000
C4H6               2   357.000     5.180     0.000     0.000     1.000 
C4H6-2             2   357.000     5.180     0.000     0.000     1.000
C4H612             2   357.000     5.180     0.000     0.000     1.000 
CH3CHOCH2          2   357.000     5.180     0.000     0.000     1.000
                                                                       
C5H2               1   357.000     5.180     0.000     0.000     1.000 
C5H3               1   357.000     5.180     0.000     0.000     1.000 
C5H5               1   357.000     5.180     0.000     0.000     1.000 
C5H6               1   357.000     5.180     0.000     0.000     1.000 
lC5H7              1   357.000     5.180     0.000     0.000     1.000
C4H6O25            1   357.000     5.180     0.000     0.000     1.000
C4H6O23            1   357.000     5.180     0.000     0.000     1.000
C4H4O              1   357.000     5.180     0.000     0.000     1.000
