!#=========================================================================================================================================================#
!#                        OXIDATION OF 2-METHYLFURAN AND 2-METHYLFURAN/N-HEPTANE BLENDS: AN EXPERIMENTAL AND MODELING STUDY                                #
!#                         RUPALI TRIPATHI, ULTAN BURKE, AJOY K. RAMALINGAM, CHANGYOUL LEE, ALEXANDER C. DAVIS, LIMING CAI,                                #
!#                                 HATEM SELIM, RAVI X. FERNANDES, K. ALEXANDER HEUFER, S. M. SARATHY, H. PITSCH                                           #
!#=========================================================================================================================================================#
!!2-MF TRANSPORT PARAMETERS
AR                 0   136.500     3.330     0.000     0.000     0.000          
N2                 1    97.530     3.621     0.000     1.760     4.000          
H                  0   145.000     2.050     0.000     0.000     0.000          
H2                 1    38.000     2.920     0.000     0.790   280.000          
H2O                2   572.400     2.605     1.844     0.000     4.000          
H2O2               2   107.400     3.458     0.000     0.000     3.800          
HO2                2   107.400     3.458     0.000     0.000     1.000
O                  0    80.000     2.750     0.000     0.000     0.000          
O2                 1   107.400     3.458     0.000     1.600     3.800          
OH                 1    80.000     2.750     0.000     0.000     0.000          
CO                 1    98.100     3.650     0.000     1.950     1.800          
CO2                1   244.000     3.763     0.000     2.650     2.100          
HCO                2   498.000     3.590     0.000     0.000     0.000          
C                  0    71.400     3.298     0.000     0.000     0.000
CH                 1    80.000     2.750     0.000     0.000     0.000          
T-CH2              1   144.000     3.800     0.000     0.000     0.000          
S-CH2              1   144.000     3.800     0.000     0.000     0.000          
CH3                1   144.000     3.800     0.000     0.000     0.000          
CH4                2   141.400     3.746     0.000     2.600    13.000          
CH2O               2   498.000     3.590     0.000     0.000     2.000          
CH2OH              2   417.000     3.690     1.700     0.000     2.000          
CH3O               2   417.000     3.690     1.700     0.000     2.000          
CH3OH              2   481.800     3.626     0.000     0.000     1.000
C2O                1   232.400     3.828     0.000     0.000     1.000
C2H                1   209.000     4.100     0.000     0.000     2.500          
C2H2               1   209.000     4.100     0.000     0.000     2.500          
H2C2               2   209.000     4.100     0.000     0.000     2.500
C2H3               2   209.000     4.100     0.000     0.000     1.000
C2H4               2   280.800     3.971     0.000     0.000     1.500          
C2H5               2   252.300     4.302     0.000     0.000     1.500          
C2H6               2   252.300     4.302     0.000     0.000     1.500          
HCCO               2   150.000     2.500     0.000     0.000     1.000
HCCOH              2   436.000     3.970     0.000     0.000     2.000          
CH2CO              2   436.000     3.970     0.000     0.000     2.000          
CH2CHO             2   436.000     3.970     0.000     0.000     2.000          
CH3CHO             2   436.000     3.970     0.000     0.000     2.000
C3H2               2   209.000     4.100     0.000     0.000     1.000
C3H2O              2   252.000     4.760     0.000     0.000     1.000
C3H3               2   252.000     4.760     0.000     0.000     1.000
A-C3H4             2   252.000     4.760     0.000     0.000     1.000
P-C3H4             2   252.000     4.760     0.000     0.000     1.000
A-C3H5             2   266.800     4.982     0.000     0.000     1.000
S-C3H5             2   266.800     4.982     0.000     0.000     1.000
T-C3H5             2   266.800     4.982     0.000     0.000     1.000
C3H6               2   266.800     4.982     0.000     0.000     1.000
N-C3H7             2   266.800     4.982     0.000     0.000     1.000
C3H8               2   266.800     4.982     0.000     0.000     1.000
C4H                2   357.000     5.180     0.000     0.000     1.000
C4H2               1   357.000     5.180     0.000     0.000     1.000          
I-C4H3             2   357.000     5.180     0.000     0.000     1.000
N-C4H3             2   357.000     5.180     0.000     0.000     1.000
C4H4               2   357.000     5.180     0.000     0.000     1.000
I-C4H5             2   357.000     5.180     0.000     0.000     1.000
N-C4H5             2   357.000     5.180     0.000     0.000     1.000
C4H6               2   357.000     5.180     0.000     0.000     1.000
C6H2               1   357.000     5.180     0.000     0.000     1.000
S-C5H5O            2   617.0       5.82      0.00      0.00      1.000
C5H6               2   400.0       5.20      0.00      0.00      0.000          
C5H5               2   400.0       5.20      0.00      0.00      1.000          
C5H4O              2   484.0       5.10      0.00      0.00      0.000
T-C5H5O            2   484.0       5.10      0.00      0.00      0.000
A1O                2   410.0       5.92      0.00      0.00      0.000
A1OH               2   410.0       5.92      0.00      0.00      0.000
O-C6H4             2   464.8       5.29      0.00     10.32      1.000
A1-                2   464.8       5.29      0.00     10.32      1.000
A1                 2   464.8       5.29      0.00     10.32      1.000
C5H4CH2            2   464.8       5.29      0.00     10.32      1.000
OC6H4O             2   464.8       5.29      0.00     10.32      1.000
A1CH3              2   495.3       5.68      0.43     12.30      1.000
A1CH2              2   495.3       5.68      0.43     12.30      1.000
A1CH3*             2   495.3       5.68      0.43     12.30      1.000
A1CHO              2   495.3       5.68      0.43     12.30      1.000
A1CH2O             2   495.3       5.68      0.43     12.30      1.000
A1CH2OH            2   495.3       5.68      0.43     12.30      1.000
HOA1CH3            2   495.3       5.68      0.43     12.30      1.000
OA1CH3             2   495.3       5.68      0.43     12.30      1.000
C6H2               1   495.3       5.68      0.43     12.30      1.000
C8H2               1   495.3       5.68      0.43     12.30      1.000
A1C2H              2   535.6       5.72      0.77     12.00      1.000
A1C2H*             2   535.6       5.72      0.77     12.00      1.000
A1C2H5             2   546.2       6.00      0.13     15.00      1.000
A1C2H4             2   546.2       6.00      0.13     15.00      1.000
A1C2H3             2   546.2       6.00      0.13     15.00      1.000
A1C2H3*            2   546.2       6.00      0.13     15.00      1.000
A1C2H2             2   546.2       6.00      0.13     15.00      1.000
